id;name;activ;discShort;discLong;addres;oktmo;fcp;actions;startBuild;endBuild;finValue;curator;telephone;workHours;email;siteUrl;typeObject;typeSport;latitude;longitude;scaleMap;photoUrl
208;Крытый плавательный бассейн «Садко» СДЮСШОР;Y;МБОУ ДОД СДЮСШОР г. Советский единственное учреждение дополнительного образования детей физкультурно – спортивной направленности Советского района, центр физкультурно – оздоровительной и спортивной работы, осуществляющей подготовку детей на высоком уровне. В феврале 2009 года было введено в эксплуатацию здание «Крытого плавательного бассейна» общей площадью 5172,4 м2, вместимостью 110 чел. в час. В здании находятся ванны для плавания с шестью дорожками по 25м и малая ванна для обучения плаванию. Общей площадью зеркала воды 460 м2. Так же в здании находится зал «сухого» плавания для специальной физической подготовки пловцов и тренажерный зал, оборудованный современными тренажерами. К услугам посетителей имеются помещения двух саун. В здании «Крытого плавательного бассейна» располагается муниципальное образовательное учреждение дополнительного образования детей Детско-юношеская спортивная школа «Арена». В вечернее время всеми услугами плавательного бассейна активно пользуются жители города и района.;Общая площадь здания «Крытого плавательного бассейна» составляет 5172,4 м2, вместимостью 110 чел. в час. В здании находятся ванны для плавания с шестью дорожками по 25м и малая ванна для обучения плаванию. Общей площадью зеркала воды 460 м2. Согласно архитектурного решения здание в плане на местности имеет восьмигранную форму Собственная котельная обеспечивает тепло- и водоснабжение здания.;Ханты-Мансийский автономный округ, г. Советский, ул. Макаренко, 5/а;71824104;Развитие ФК и спорта в РФ (2006-2015);строительство;01.12.2006;31.12.2008;147105000;Старший отдела по физической культуре и спорту Департамента социального развития администрации Советского района, Пейль Алексей Владимирович;;08:00-20:00 (понедельник выходной);ukmps@mail.ru;;бассейн;плавание;63.5594;61.374;15;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=208
214;Спортивный зал для мини-футбола;Y;Отдельно стоящее здание, расположено на обособленном земельном участке, удаленном от  коммунальных и промышленных предприятий. Одноэтажное общей площадью - 1755,4 м2.  Помещений – 30.  В холле  здания расположены: вахта, гардероб, медкабинет, электрощитовая, теплоузел, раздевалки, душевые, туалеты, кабинет тренера, инвентарная,  кабинет заведующего. Футбольный зал с трибунами на 228 чел.  Единовременная пропускная способность - 200 чел./час.  Всего привлечены к занятиям в секциях: дети &#40 от 6 -21 года&#41  - 160 человек. Даты крупных соревнований и значимых событий: Финал Кубка России среди юношей 2000г.р. по мини-футболу &#40 футзалу&#41  – декабрь 2012г.,2013г.  Первенство ХМАО-Югра среди юношей по мини-футболу – ноябрь, декабрь &#40 ежегодно&#41 .;Здание кирпичное, бетонное, блоки «Сэндвичи». Половое покрытие спортивного зала – терафлекс. Сборные, разборные трибуны. В здании установлены камеры видео наблюдения. Единовременная пропускная способность 50 чел/час.;Ханты-Мансийский автономный округ, г. Лангепас, ул. Солнечная, 23/б;71872000;Развитие ФК и спорта в РФ (2006-2015);строительство;01.06.2007;30.12.2009;83829000;;8 (34669)2 80 72;08:00-22:00;;;зал спортивный;игровые виды спорта (разное), мини-футбол, общая физическая подготовка;75.17959999999999;61.2569;16;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=214
221;Ледовый дворец спорта;Y;Ледовый Дворец спорта в городе Сургуте открыт 28 ноября 2011 года – это многофункциональный спортивный комплекс, в котором созданы все условия для проведения тренировок спортсменов, активного отдыха жителей и гостей города. Спортивный комплекс ориентирован как на физических лиц, так и на корпоративных клиентов. Услуги, предлагаемые Ледовым дворцом спорта, являются уникальными для рынка города Сургута. В разрезе социальной значимости – Ледовый Дворец спорта является учреждением, как для общего физического развития,  так и для семейного отдыха. В Ледовом Дворце спорта функционируют: ледовая арена, 25 метровый бассейн, мини-аквапарк с горками-аттракционами, тренажёрные залы, зал борьбы, зал хореографии, зал йоги и пилатеса, конференц зал, фойе для проведения выставок и семинаров, оборудованные раздевалки и душевые, универсальная уличная спортивная площадка с искусственным покрытием – всё для комфортного проведения спортивных и массовых мероприятий и занятий спортом. •Общая площадь здания 23 126,5 м. На базе Ледового Дворца спорта открыты отделения по видам спорта: хоккей с шайбой, фигурное катание на коньках, черлидинг, оздоровительное плавание, оздоровительная гимнастика. Даты крупных соревнований и значимых событий: - 05, 06 марта 2013 года – Первенство России  по хоккею с шайбой среди команд СДЮШОР  «Нефтяник-96» &#40 г.Сургут&#41  – «Авангард» &#40 г.Омск&#41  - 09, 10  марта 2013 года – Первенство России  по хоккею с шайбой среди команд СДЮШОР  «Нефтяник-96» &#40 г.Сургут&#41  – «Газовик» &#40 г.Тюмень&#41  - 10 марта 2013 года – II турнир по хоккею с шайбой среди дворовых команд, посвящённый памяти В.А. Варенюка - 19-23 марта 2013 года – Первенство Ханты-Мансийского автономного округа-Югра по шахматам среди детей до 8 лет - 28-31 марта 2013 года – IV тур Первенства ХМАЮ-Югры по хоккею с шайбой среди юношей 2001 г.р. сезона 2012-2013 г.г. - 04, 05, 06, 10, 11, 12, 13, 14 апреля 2013 года – Первенство ХМАО-Югры по хоккею с шайбой среди ДЮСШ сезона 2012-2013 г. - 18, 19, 20, 21 апреля 2013 года – Турнир ХМАО-Югры по хоккею с шайбой среди команд 2004 г.р. на призы Русского радио Сургут - 27, 28 апреля 2013 года – Первенство Сургутского района по хоккею с шайбой в зачёт XXII комплексной Спартакиады городских и сельских поселений 28 апреля, 05 мая 2013 года – Городской турнир по хоккею с шайбой среди ветеранов спорта - 04-09 мая 2013 года – Лично-командное Первенство ХМАО-Югры по шахматам среди детских коллективов  «Надежда Югры», посвященное памяти участника ВОВ Г.Н. Никонова - 7, 8 мая 2013 года – Открытый турнир по фигурному катанию на коньках среди мальчиков и девочек «Сургутский фигурист»  - 09 мая 2013 года – Спортивно-развлекательное мероприятие «Дорогами войны»  - 16, 17 мая 2013 года – Товарищеский матч по хоккею между командами «Октан» &#40 ООО «Газпром переработка» г.Сургут&#41  и ГЭС-2 &#40 ОАО «Газпром» г.Москва&#41  приуроченный к празднованию 20-летия ОАО «Газпром» - 18, 19 мая 2013 года – Открытое первенство города Сургута по синхронному плаванию - 25 мая 2013 года – Закрытие Ледового сезона 2012-2013 г.г. - 01, 02 июня 2013 года – детское ледовое шоу «Волшебный калейдоскоп» - 12 июня 2013 года – Конкурс рисунков на асфальте «Любимый город», в рамках празднования Дня города - 10 августа 2013 года – Спортивно-массовое мероприятие, приуроченное к празднованию Всероссийского Дня физкультурника «Физкульт-привет! На встречу Олимпиаде!» - 14 сентября 2013 – Открытие ледового сезона - 14, 15 сентября 2013 года – игры Первенства России по хоккею с шайбой МКС «Урал-Западная Сибирь» сезона 2013-2014 г.г. «Нефтяник» &#40 г.Сургут&#41 -«Рубин» &#40 г.Тюмень&#41 1996 г.р. - 05, 06 октября 2013 года –  Первенство России по хоккею МКС «Урал-Западная Сибирь» сезона 2013-14г.г. 1996 г.р. «Нефтяник» &#40 г. Сургут&#41  – «Автомобилисты» &#40 г. Екатеринбург&#41  - 26, 27 октября 2013 года – Первенство России по хоккею МКС «Урал-Западная Сибирь» сезона 2013-14г.г.1996 г.р. «Нефтяник» &#40 г. Сургут&#41  – «Мечел» &#40 г. Челябинск&#41  - 07 ноября 2013 года – Благотворительный хоккейный матч среди хоккейных команд «Югра» - «Сургут и Сургутский район» - 18, 19 ноября 2013 года – Первенство России по хоккею МКС «Урал-Западная Сибирь» сезона 2013-14г.г., 1996 г.р. «Нефтяник» &#40 г.Сургут &#41  – «Молот» &#40 г. Пермь&#41  - 07, 08 декабря 2013 года Первенство России по хоккею МКС «Урал-Западная Сибирь» сезона 2013-14г.г., 1996 г.р. «Нефтяник» &#40 г.Сургут&#41  –  «Трактор» &#40 г. Челябинск&#41  - 13, 14, 15 декабря 2013 года – Турнир по хоккею с шайбой среди команд 2004 г.р. на переходящий Кубок «Черного Лиса» - 22 декабря 2013 года – Первенство г. Сургута по синхронному плаванию - 22 декабря 2013 года – Спортивное мероприятие посвященное празднованию Нового года «В гостях у сказки» - 28, 29 декабря 2013 года – ледовое шоу «Новогоднее путешествие»;Общая площадь объекта составляет 21 247 м2. Перечень помещений спортивного назначения: хоккейный корт, плавательный бассейн &#40 малая и большая чаши&#41 . Кровля выполнена по типу пространственной металлоконструкции. Здание каркасно-монолитное.;Ханты - Мансийский автономный округ, г. Сургут, Югорский тракт, 40;71876000;Развитие ФК и спорта в РФ (2006-2015);строительство;01.06.2008;05.11.2011;814724600;;8 (346) 295-07-95;07:00-21:00;lds2011@list.ru;;арена ледовая;аквааэробика, греко-римская борьба, общая физическая подготовка, пауэрлифтинг, плавание, синхронное плавание, спортивная аэробика, спортивная гимнастика, фигурное катание, фитнес-аэробика, хоккей, художественная гимнастика, черлидинг;73.37739999999999;61.2381;16;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=221
227;Спортивный центр с плавательным бассейном;Y;Спортивный центр с плавательным бассейном в п.Лыхма – универсальное спортивное здание с комплексом спортивно-оздоровительных объектов. Спортивное заведение характеризуется спецификой своей работы: осуществляет физкультурно-оздоровительную и спортивную работу среди населения, направленную на укрепление их здоровья и всестороннее физическое развитие. Наиболее массовым видом спорта в Спортивном центре с плавательным бассейном в п.Лыхма является плавание. Этим видом спорта занимаются около 80 мальчишек и девчонок. В этом виде спорта сборные команды с.п. Лыхма  регулярно принимают участие в районных соревнованиях завоевывая призовые места.  Большое внимание персоналом бассейна уделяется работе с детьми применяя новые формы и методы работы, под пристальным вниманием медицинского персонала. Спортивный центр с плавательным бассейном в п.Лыхма успешно выполняет одну из основных задач – массового привлечения детей и подростков к занятиям спортом. Как показывает практика, они во многом определяют отношения ребят к учебе, их поведению в быту.;Общая площадь объекта составляет 2111 м2. Перечень помещений спортивного назначения: бассейн, малый бассейн, универсальный игровой зал. Численность регулярно занимающихся составляет 85 человек, единовременная пропускная способность - 38 чел/час.;Ханты-Мансийский автономный округ, пос. Лыхма, стр. 39/а;71811412;Развитие ФК и спорта в РФ (2006-2015);строительство;15.12.2006;24.12.2009;212165000;;т/факс: 4-84-10;10:35-20:45;NurtdinovRA@admbel;;многофункциональный спортивный комплекс;аквааэробика, плавание;66.9466;63.2185;16;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=227
234;Спортивный центр с универсальным игровым залом ;Y;Отдельно стоящее здание, расположено на обособленном земельном участке, удаленном от  коммунальных и промышленных предприятий. Двухэтажное, обще площадью - 3092,8 кв.м., здания- 2540,5 кв.м. количество помещений - 38. На первом этаже здания расположены: вахта, гардероб, медкабинет, электрощитовая, теплоузел, раздевалки, душевые, туалеты, инвентарная, тренажерный зал, спортивный зал, в котором находятся одна инвентарная комната.  На втором этаже расположены. Кабинет заведующего,  вентиляционная комната, кабинет тренера, кардиозал, методический кабинет, зал тенниса. Единовременная пропускная способность - 300 человек.  Всего привлечены к занятиям в секциях: дети &#40 от 6 -21 года&#41  –  145 человек Проводятся соревнования и учебные группы по баскетболу, волейболу, н/теннису и групп общей физической подготовки, соревнования по различным видам спорта Спартакиады города, Первенства ХМАО-Югра.;Общая площадь объекта составляет 3092,8 м2. Перечень помещений спортивного назначения: универсальный игровой зал, тренажерный зал, зал настольного тенниса, кардио-зал. Единовременная пропускная способность 90 чел/час. Здание кирпичное, бетонное, блоки «Сэндвичи». Половое покрытие спортивного зала – терафлекс. Сборные, разборные трибуны. В здании установлены камеры видео наблюдения.;Ханты-Мансийский автономный округ-Югра, г. Лангепас, ул. Ленина, 47;71872000;Развитие ФК и спорта в РФ (2006-2015);строительство;14.01.2008;30.12.2011;143946000;;8(34669)5-16-27;08:00-23:00;;;многофункциональный спортивный комплекс;баскетбол, бодибилдинг, волейбол, настольный теннис, общая физическая подготовка, фитнес-аэробика;75.19410000000001;61.2447;15;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=234
243;Крытый хоккейный корт;Y;Наименование учреждения на базе данного спортивного сооружения: Муниципальное учреждение спортивный комплекс «Айсберг». Штатная численность работников 45 человек, из них 4 тренера, 2 старших тренера. Даты крупных соревнований и значимых событий: Март, Ежегодный детский турнир по хоккею с шайбой на Кубок  А.И. Ногтева.;Общая площадь объекта составляет 4374 м2. Перечень  помещений спортивного назначения: хоккейный корт, тренажерный зал. Единовременная пропускная способность 50 чел/час.;Хантымансийский АО, пгт Игрим, ул. Промышленная, 50;71812154;Развитие ФК и спорта в РФ (2006-2015);строительство;18.12.2006;16.09.2014;250351000;;8(34674) 6-20-97;09:00-22:00;sk-aisberg@mail.ru;;арена ледовая;фигурное катание, хоккей;64.4289;63.1906;16;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=243
252;Спортивный центр с универсальным игровым залом и плавательным бассейном;Y;Оздоровление нации путем увеличения количества занимающихся ФКС как среди детей, так и взрослого населения. Развитие новых видов спорта, увеличение спортивного резерва района.;Общая площадь объекта составляет 5855 м2. Перечень  помещений спортивного назначения: универсальный игровой зал, тренажерный зал, плавательный бассейн, детский плавательный бассейн.;Ханты-Мансийский автономный округ, пгт Мортка, ул. Путейская, 16;71816163;Развитие ФК и спорта в РФ (2006-2015);строительство;20.04.2007;27.12.2013;493935110;Инспектор по контролю за исполнением поручений Оленева Марина Евгеньевна;8(34677)30-594;8.00-22.00;kondasport@mail.ru;;многофункциональный спортивный комплекс;баскетбол, бокс, волейбол, гандбол, дзюдо, игровые виды спорта (разное), мини-футбол, настольный теннис, пауэрлифтинг, плавание, спортивная гимнастика, тяжёлая атлетика;66.01690000000001;59.3274;16;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=252
260;Спортивный комплекс с плавательным бассейном;Y;;;Алтайский край, г. Камень-на-Оби, ул. Пушкина, 26;1616101;Развитие ФК и спорта в РФ (2006-2015);строительство;01.01.2010;05.07.2013;50000000;;;;;;бассейн;плавание;81.3424;53.7901;15;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=260
262;Учебный корпус школы № 4 со спортивным залом;Y;Является социально-значимым объектом поселка  место проведения активного отдыха и проведение уроков физической культуры.  Проводятся учебные занятия по физической культуре, соревнования поселкового и окружного масштаба. Работают секции по волейболу, баскетболу легкой атлетике. Соревнования поселкового и окружного масштаба. ;Строительство велось с использованием типовых технологий.;Забайкальский край, пгт Агинское, ул. Ранжурова, 255/е;76702000;Развитие ФК и спорта в РФ (2006-2015);строительство;16.05.2008;16.12.2009;17500000;Ведущий инженер - Карелин Алексей Владимирович;;;aleksey.karelin1985@mail.ru;;зал спортивный;баскетбол, волейбол, лёгкая атлетика, мини-футбол;114.5576;51.0956;15;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=262
270;Спортивный зал в средней школе № 3;Y;Проводятся учебные занятия по физической культуре. Работают секции по волейболу, баскетболу, легкой атлетике, борьбе, боксу, шахматам. Даты крупных соревнований значимых событий:   Первенство России по вольной борьбе среди юношей 1996-1997 г.р. 7-10 декабря 2012 г., Ежегодно проводится международный турнир по вольной борьбе памяти Героя Советского Союза Базара Ринчино, Всероссийский турнир класса «А» по боксу на призы депутата Государственной Думы ФС РФ народного артиста СССР, профессора Иосифа Кобзона, Зимняя спартакиада ГО «Поселок Агинское».;В здании имется следующие спортивные помещения: спортивный зал, тренажерный зал, раздевалка. Здание оснащено пандусами, имеется парковка.;Забайкальский край, пгт Агинское, ул. Ленина, 146;76702000;Развитие ФК и спорта в РФ (2006-2015);строительство;01.09.2003;28.12.2007;33500000;Ведущий инженер - Карелин Алексей Владимирович;;;aleksey.karelin1985@mail.ru;;зал спортивный;баскетбол, волейбол, лёгкая атлетика, мини-футбол;114.5364;51.1049;16;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=270
